Food and Serving,Calories,Calories from Fat,Total Fat,Total Fat,Sodium,Sodium,Potassium,Potassium,Total Carbo-hydrate,Total Carbo-hydrate,Dietary Fiber,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,  Iron  ,Saturated Fat,Saturated Fat,Chole-sterol,Chole-sterol,Food Type
"Asparagus, 5 spears (93 g/3.3 oz)",20,0,0,0,0,0,230,7,4,1,2,8,2,2,10,15,2,2,,,,,"Vegetables"
"Bell Pepper, 1 medium (148 g/5.3 oz)",25,0,0,0,40,2,220,6,6,2,2,8,4,1,4,190,2,4,,,,,"Vegetables"
"Cauliflower, 1/6 medium head (99 g/3.5 oz)",25,0,0,0,30,1,270,8,5,2,2,8,2,2,0,100,2,2,,,,,"Vegetables"
"Celery, 2 medium stalks (110 g/3.9 oz)",15,0,0,0,115,5,260,7,4,1,2,8,2,0,10,15,4,2,,,,,"Vegetables"
"Cucumber, 1/3 medium (99 g/3.5 oz)",10,0,0,0,0,0,140,4,2,1,1,4,1,1,4,10,2,2,,,,,"Vegetables"
"Green (Snap) Beans, 3/4 cup cut (83 g/3.0 oz)",20,0,0,0,0,0,200,6,5,2,3,12,2,1,4,10,4,2,,,,,"Vegetables"
"Green Cabbage, 1/12 medium head (84 g/3.0 oz)",25,0,0,0,20,1,190,5,5,2,2,8,3,1,0,70,4,2,,,,,"Vegetables"
"Green Onion, 1/4 cup chopped (25 g/0.9 oz)",10,0,0,0,10,0,70,2,2,1,1,4,1,0,2,8,2,2,,,,,"Vegetables"
"Iceberg Lettuce, 1/6 medium head (89 g/3.2 oz)",10,0,0,0,10,0,125,4,2,1,1,4,2,1,6,6,2,2,,,,,"Vegetables"
"Leaf Lettuce, 1 1/2 cups shredded (85 g/3.0 oz)",15,0,0,0,35,1,170,5,2,1,1,4,1,1,130,6,2,4,,,,,"Vegetables"
"Mushrooms, 5 medium (84 g/3.0 oz)",20,0,0,0,15,0,300,9,3,1,1,4,0,3,0,2,0,2,,,,,"Vegetables"
"Radishes, 7 radishes (85 g/3.0 oz)",10,0,0,0,55,2,190,5,3,1,1,4,2,0,0,30,2,2,,,,,"Vegetables"
"Summer Squash, 1/2 medium (98 g/3.5 oz)",20,0,0,0,0,0,260,7,4,1,2,8,2,1,6,30,2,2,,,,,"Vegetables"
"Sweet Corn, kernels from 1 medium ear (90 g/3.2 oz)",90,20,2.5,4,0,0,250,7,18,6,2,8,5,4,2,10,0,2,,,,,"Vegetables"
"Sweet Potato, 1 medium, 5"" long, 2"" diameter (130 g/4.6 oz)",100,0,0,0,70,3,440,13,23,8,4,16,7,2,120,30,4,4,,,,,"Vegetables"
"Tomato, 1 medium (148 g/5.3 oz)",25,0,0,0,20,1,340,10,5,2,1,4,3,1,20,40,2,4,,,,,"Vegetables"
"Apple, 1 large (242 g/8 oz)",130,0,0,0,0,0,260,7,34,11,5,20,25,1,2,8,2,2,,,,,Fruits
"Cantaloupe, 1/4 medium (134 g/4.8 oz)",50,0,0,0,20,1,240,7,12,4,1,4,11,1,120,80,2,2,,,,,Fruits
"Grapefruit, 1/2 medium, (154 g/5.5 oz)",60,0,0,0,0,0,160,5,15,5,2,8,11,1,35,100,4,0,,,,,Fruits
"Grapes, 3/4 cup (126 g/4.5 oz)",90,0,0,0,15,1,240,7,23,8,1,4,20,0,0,2,2,0,,,,,Fruits
Honeydew Melon 1/10 medium melon  (134 g/4.8 oz),50,0,0,0,30,1,210,6,12,4,1,4,11,1,2,45,2,2,,,,,Fruits
"Kiwifruit, 2 medium (148 g/5.3 oz)",90,10,1,2,0,0,450,13,20,7,4,16,13,1,2,240,4,2,,,,,Fruits
"Lemon, 1 medium (58 g/2.1 oz)",15,0,0,0,0,0,75,2,5,2,2,8,2,0,0,40,2,0,,,,,Fruits
"Lime, 1 medium (67 g/2.4 oz)",20,0,0,0,0,0,75,2,7,2,2,8,0,0,0,35,0,0,,,,,Fruits
"Nectarine, 1 medium (140 g/5.0 oz)",60,5,0.5,1,0,0,250,7,15,5,2,8,11,1,8,15,0,2,,,,,Fruits
"Pear, 1 medium (166 g/5.9 oz)",100,0,0,0,0,0,190,5,26,9,6,24,16,1,0,10,2,0,,,,,Fruits
