Food and Serving,Calories,CaloriesÊfrom Fat,Total Fat,Total Fat,Sodium,Sodium,Potassium,Potassium,Total Carbo-hydrate,Total Carbo-hydrate,Dietary Fiber,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,ÊÊIronÊÊ,Saturated Fat,Saturated Fat,Chole-sterol,Chole-sterol,Food Type
"Orange, 1 medium (154 g/5.5 oz)",80,0,0,0,0,0,250,7,19,6,3,12,14,1,2,130,6,0,,,,,???
"Peach, 1 medium (147 g/5.3 oz)",60,0,0.5,1,0,0,230,7,15,5,2,8,13,1,6,15,0,2,,,,,???
"Avocado, California,1/5 medium (30 g/1.1 oz)",50,35,4.5,7,0,0,140,4,3,1,1,4,0,1,0,4,0,2,,,,,???
"Banana, 1 medium (126 g/4.5 oz)",110,0,0,0,0,0,450,13,30,10,3,12,19,1,2,15,0,2,,,,,???
Tilapia,110,20,2.5,4,30,1,360,10,0,0,,,,22,0,2,0,2,1,5,75,25,???
"Salmon, Atlantic/Coho/Sockeye /Chinook",200,90,10,15,55,2,430,12,0,0,,,,24,4,4,2,2,2,10,70,23,???
"Salmon,ÊChum/Pink",130,40,4,6,65,3,420,12,0,0,,,,22,2,0,2,4,1,5,70,23,???
Haddock,100,10,1,2,85,4,340,10,0,0,,,,21,2,0,2,6,0,0,70,23,???
"Broccoli, 1 medium stalk (148 g/5.3 oz)",45,0,0.5,1,80,3,460,13,8,3,3,12,2,4,6,220,6,6,,,,,???
"Carrot, 1 carrot, 7"" long,Ê1 1/4"" diameter (78 g/2.8 oz)",30,0,0,0,60,3,250,7,7,2,2,8,5,1,110,10,2,2,,,,,???
"Onion, 1 medium (148 g/5.3 oz)",45,0,0,0,5,0,190,5,11,4,3,12,9,1,0,20,4,4,,,,,???
"Potato, 1 medium (148 g/5.3 oz)",110,0,0,0,0,0,620,18,26,9,2,8,1,3,0,45,2,6,,,,,???
